taxon	logFC	mean_disease	mean_other	abs_logFC	disease	model_direction	lefse_rows	lefse_projects_n	lefse_taxonomic_rank	lefse_disease_enriched_n	lefse_health_enriched_n	lefse_dominant_direction	lefse_mean_abs_lda	lefse_max_abs_lda	lefse_source_files_n	same_direction	confidence_score
Oscillospira	-4.540768336768768	0.0005287675762082	0.012329845237572	4.540768336768768	COVID-19	Health-enriched	2	2	genus	0	2	Health-enriched	2.568040174378345	2.94203301792127	1	True	7.482815842153835
Subdoligranulum	-3.3205206265900244	0.039310380467487	0.3927294766694487	3.3205206265900244	COVID-19	Health-enriched	3	3	genus	1	2	Health-enriched	4.489807844889387	4.67293636914555	1	True	6.904828530936055
Alloprevotella	-3.680528270846882	0.005716627175715	0.073309341521216	3.680528270846882	COVID-19	Health-enriched	2	2	genus	0	2	Health-enriched	4.17908420573932	4.71894654125373	1	True	6.065210380714161
Monoglobus	-3.0815216065231765	0.0151538615798192	0.1282859292836801	3.0815216065231765	COVID-19	Health-enriched	2	2	genus	0	2	Health-enriched	3.166367505241565	3.27346170021308	1	True	5.078096257083986
Haemophilus	-3.068244315793454	0.009072878937973	0.076106341828284	3.068244315793454	COVID-19	Health-enriched	2	2	genus	0	2	Health-enriched	2.2828696704682647	2.48392627028647	1	True	5.0562163649501475
Candidatus Gastranaerophilales	-4.74183620907758	0.0013871279534741	0.0371409271112818	4.74183620907758	COVID-19	Health-enriched	1	1	genus	0	1	Health-enriched	2.49600461343858	2.49600461343858	1	True	4.930185598498777
Terrisporobacter	-2.6800774519732324	0.0044273831506747	0.0283800784022509	2.6800774519732324	COVID-19	Health-enriched	2	2	genus	0	2	Health-enriched	3.22587488677245	3.58039278604713	1	True	4.4165490349801635
Enterorhabdus	-3.744952317546261	0.0013576466661573	0.0182148527674486	3.744952317546261	COVID-19	Health-enriched	1	1	genus	0	1	Health-enriched	3.15699587239648	3.15699587239648	1	True	3.893704710357935
Colidextribacter	-3.1073365987044363	0.008782203219658	0.0756917796625939	3.1073365987044363	COVID-19	Health-enriched	1	1	genus	0	1	Health-enriched	3.08157813190172	3.08157813190172	1	True	3.230762403664065
Oxalobacter	-2.838359799510707	0.0011584870836537	0.008291726709062	2.838359799510707	COVID-19	Health-enriched	1	1	genus	0	1	Health-enriched	2.21861128321665	2.21861128321665	1	True	2.951101638668307
Butyricimonas	-1.89688459003017	0.0281515147114868	0.104841255145744	1.89688459003017	Colitis, Ulcerative	Health-enriched	6	6	genus	0	6	Health-enriched	2.969439725497439	3.37484271216158	1	True	5.536750462989502
Desulfovibrio	-2.4716067019454937	0.0135832866855123	0.0753457619655996	2.4716067019454937	Colitis, Ulcerative	Health-enriched	3	3	genus	0	3	Health-enriched	3.0220821651251835	3.36351295694604	1	True	5.139561650719752
Victivallis	-2.044350645255334	0.0034358477515969	0.0141755697728276	2.044350645255334	Colitis, Ulcerative	Health-enriched	3	3	genus	0	3	Health-enriched	2.4541543016490235	2.88470808399109	1	True	4.251107657503919
Longicatena	1.7543996704497424	0.044490446494909	0.013186109137727	1.7543996704497424	Colitis, Ulcerative	Disease-enriched	3	3	genus	2	1	Disease-enriched	2.7732635753296164	3.23660137777207	1	True	3.6481715554426084
Campylobacter	-2.1040228142038617	0.0071363482142997	0.0306829215782602	2.1040228142038617	Colitis, Ulcerative	Health-enriched	2	2	genus	0	2	Health-enriched	2.7678269691460198	2.84624352658664	1	True	3.467257978983633
Subdoligranulum	-1.5631332077922035	0.1212013215480631	0.3581456731239589	1.5631332077922035	Colitis, Ulcerative	Health-enriched	3	3	genus	0	3	Health-enriched	4.276615290639743	4.62521079541278	1	True	3.250444127462367
Catenibacterium	-1.9456426467151744	0.0196432326436346	0.0756704169593774	1.9456426467151744	Colitis, Ulcerative	Health-enriched	2	2	genus	0	2	Health-enriched	2.662312881350725	2.97112824893969	1	True	3.2062603815570543
Allisonella	-1.8412443689209048	0.0062479346153479	0.0223901172911712	1.8412443689209048	Colitis, Ulcerative	Health-enriched	2	2	genus	0	2	Health-enriched	2.47656942779334	2.94816785802807	1	True	3.034220535206197
Anaeromassilibacillus	2.220808246694713	0.0254096085948065	0.0054501128106933	2.220808246694713	Colitis, Ulcerative	Disease-enriched	1	1	genus	1	0	Disease-enriched	2.39124013880159	2.39124013880159	1	True	2.3090204621410737
